,0,1
0,1,7
1,0,6
2,1,5
3,1,5
4,0,6
5,1,5
6,0,6
7,1,7
8,0,6
9,1,3
10,1,3
11,1,3
12,1,5
13,1,7
14,1,3
15,1,5
16,1,7
17,1,5
18,0,6
19,1,5
20,1,5
21,1,5
22,1,4
23,1,5
24,0,6
25,0,6
26,0,6
27,0,6
28,1,5
29,1,2
30,1,3
31,1,2
32,0,6
33,0,6
34,1,5
35,1,7
36,0,6
37,1,5
38,0,6
39,0,6
40,0,6
41,1,5
42,1,3
43,0,6
44,1,5
45,1,4
46,0,6
47,1,5
48,0,6
49,0,6
50,0,6
51,1,4
52,1,4
53,0,6
54,0,6
55,1,5
56,1,1
57,0,6
58,0,6
59,1,3
60,1,3
61,1,3
62,1,4
63,1,5
64,1,4
65,1,3
66,1,2
67,1,5
68,1,7
69,0,6
70,1,3
71,1,3
72,1,7
73,1,5
74,0,6
75,1,1
76,1,4
77,1,3
78,1,4
79,1,5
80,0,6
81,1,5
82,1,3
83,1,3
84,1,5
85,1,5
86,1,4
87,1,4
88,1,5
89,0,6
90,1,4
91,1,4
92,0,6
93,0,6
94,1,5
95,1,5
96,1,2
97,0,6
98,1,5
99,0,6
100,1,3
101,0,6
102,0,6
103,1,4
104,0,6
105,1,7
106,1,3
107,1,2
108,0,6
109,1,4
110,0,6
111,1,3
112,1,4
113,1,6
114,1,7
115,0,6
116,1,3
117,0,6
118,1,4
119,1,7
120,1,5
121,0,6
122,1,5
123,1,3
124,1,2
125,0,6
126,1,4
127,0,6
128,1,5
129,0,6
130,1,3
131,1,5
132,1,5
133,1,5
134,1,2
135,1,5
136,0,6
137,0,6
138,1,3
139,1,4
140,0,6
141,1,2
142,0,6
143,0,6
144,1,4
145,0,6
146,1,3
147,1,3
148,0,6
149,0,6
150,0,6
151,1,5
152,1,5
153,0,6
154,1,5
155,0,6
156,0,6
157,1,5
158,1,7
159,0,6
160,1,7
161,1,7
162,1,4
163,1,5
164,1,3
165,0,6
166,1,3
167,1,5
168,1,3
169,1,3
170,1,5
171,0,6
172,1,5
173,1,3
174,1,3
175,1,3
176,0,6
177,1,7
178,1,4
179,1,4
180,1,5
181,0,6
182,1,5
183,0,6
184,1,5
185,0,6
186,1,5
187,0,6
188,1,3
189,1,4
190,1,5
191,1,3
192,1,3
193,0,6
194,1,2
195,1,3
196,0,6
197,1,5
198,1,3
199,1,3
200,1,3
201,1,3
202,1,3
203,1,7
204,1,4
205,1,7
206,1,5
207,0,6
208,1,3
209,0,6
210,1,5
211,1,3
212,1,5
213,1,7
214,1,7
215,0,6
216,1,5
217,1,3
218,1,3
219,0,6
220,1,3
221,0,6
222,1,0
223,1,7
224,1,2
225,1,3
226,0,6
227,0,6
228,0,6
229,1,3
230,1,4
231,0,6
232,1,3
233,1,3
234,0,6
235,0,6
236,1,4
237,0,6
238,1,7
239,0,6
240,0,6
241,1,8
242,0,6
243,1,7
244,0,6
245,1,3
246,1,2
247,0,6
248,1,2
249,1,3
250,1,2
251,1,2
252,1,3
253,0,6
254,1,4
255,1,3
256,0,6
257,1,5
258,0,6
259,0,6
260,1,4
261,1,4
262,1,5
263,1,3
264,1,3
265,0,6
266,0,6
267,0,6
268,1,4
269,1,3
270,1,5
271,1,3
272,1,3
273,0,6
274,1,5
275,1,4
